Index;Value;Cl-;Cl+;SE 
151;-1,016862776;-1,61025119;-0,423474363;0,302749191
152;-5,274659146;-22,03038915;11,48107086;8,548841839
153;-0,008041389;-0,774772802;0,758690024;0,391189497
154;-5,546195281;-24,11926202;13,02687145;9,476054456
155;-0,297065798;-1,183686952;0,589555356;0,452357732
156;-4,56311594;-24,19410329;15,06787141;10,01580987
157;0,129501933;-1,848790871;2,107794737;1,009333063
158;-4,582646858;-24,83270519;15,66741147;10,33166241
159;-0,16275025;-0,311247559;-0,01425294;0,075763934
160;-1,014641941;-2,117296382;0,0880125;0,562578797
161;-0,162220686;-0,788213065;0,463771693;0,319383867
162;-1,322437072;-4,499611627;1,854737483;1,621007426
163;-0,470335227;-1,026600731;0,085930277;0,283808931
164;-5,207167524;-21,92703992;11,51270487;8,53054714
165;-0,919826378;-1,788121152;-0,051531604;0,443007538
166;-5,614321044;-24,76567208;13,53702999;9,771097467
167;-1,014346576;-2,079164644;0,050471491;0,543274524
168;-0,272475472;-4,048542004;3,503591061;1,926564558
169;-0,294565715;-2,234591406;1,645459977;0,989809026
170;-3,437582309;-20,7586494;13,88348478;8,837279129
171;-0,836160817;-0,998599774;-0,673721861;0,082877018
172;-1,876463896;-3,208037692;-0,544890099;0,679374386
173;-1,505131444;-2,306053891;-0,704208998;0,408633901
174;-6,061654586;-10,45646688;-1,666842293;2,24225117
175;-0,666590138;-1,26395175;-0,069228526;0,304776333
176;0,595315334;-6,560196855;7,750827523;3,650771525
177;-0,244452906;-1,147677141;0,65877133;0,460828692
178;-5,572066897;-25,23875457;14,09462077;10,03402432
179;1,811222812;-0,52688729;4,149332915;1,192913318
180;-5,313101691;-23,98678754;13,36058416;9,527390739
181;-0,786364766;-2,776609907;1,203880375;1,015431194
182;-3,896814057;-24,32928016;16,53565204;10,4247276
183;-0,05712435;-0,222716431;0,108467732;0,084485756
184;-7,797848518;-24,5175861;8,921889066;8,530478359
185;-0,113069477;-0,85466726;0,628528306;0,378366216
186;-5,806739441;-7,82675985;-3,786719032;1,030622658
187;-1,198006531;-1,853194935;-0,542818127;0,334279798
188;-5,060773581;-24,05031521;13,92876804;9,688541646
