"","SCL","BM","ind","sex","year","res","season","loc","BCI","log_BCI","loc_sex_cohort","year_recode"
"1",188,1194,"1","m",2020,6.515137048,"sum","p",6.35106383,1.84877977269787,"p_m",13
"2",186.6,1205,"1","m",2011,1.939037976,"sp","p",6.457663451,1.86542240025852,"p_m",4
"3",185.7,1239,"1","m",2010,1.25147289,"sp","p",6.672051696,1.89807728093177,"p_m",3
"4",187,1291,"1","m",2020,0.510238579,"sum","p",6.903743316,1.93220861252801,"p_m",13
"5",181,1230,"1","m",2017,-1.111269316,"sp","p",6.79558011,1.91641956067287,"p_m",10
"6",185.5,1269,"1","m",2014,-1.425257715,"sum","p",6.84097035,1.92307575301782,"p_m",7
"7",185,1302,"1","m",2016,-1.53139026,"sum","p",7.037837838,1.95144307671323,"p_m",9
"8",184,1245,"1","m",2019,-1.897886096,"sp","p",6.766304348,1.91210283156014,"p_m",12
"9",184.16,1271,"1","m",2009,-2.023,"sum","p",6.901607298,1.93189920950396,"p_m",2
"10",184,1305,"1","m",2018,-3.012112862,"sp","p",7.092391304,1.95916354832833,"p_m",11
"11",183.1,1230,"1","m",2008,-3.382,"sum","p",6.717640634,1.90488584746522,"p_m",1
"12",182.3,1300,"1","m",2011,-6.090160939,"sum","p",7.131102578,1.96460608267929,"p_m",4
"13",199,1409,"2","m",2009,3.9506,"sp","p",7.08040201,1.95747191211276,"p_m",2
"14",200,1517,"2","m",2023,2.27877231,"sum","p",7.585,2.02630444326671,"p_m",16
"15",200,1477,"2","m",2011,2.182931624,"sum","p",7.385,1.99958631643037,"p_m",4
"16",198,1521,"2","m",2016,0.97469682,"sp","p",7.681818182,2.03898643063086,"p_m",9
"17",198,1458,"2","m",2019,0.119334032,"sp","p",7.363636364,1.99668967517226,"p_m",12
"18",196,1500,"2","m",2017,-0.359716422,"sp","p",7.653061224,2.03523638592631,"p_m",10
"19",199,1530,"2","m",2022,-0.582803276,"sp","p",7.688442211,2.03984824655651,"p_m",15
"20",198.4,1534,"2","m",2012,-2.322350023,"sp","p",7.731854839,2.04547811382262,"p_m",5
"21",198,1550,"2","m",2021,-2.436032163,"sum","p",7.828282828,2.05787091295981,"p_m",14
"22",198.2,1500,"2","m",2011,-2.965817367,"sp","p",7.568113017,2.02407588977851,"p_m",4
"23",196,1516,"2","m",2013,-3.03817559,"sp","p",7.734693878,2.04584518627186,"p_m",6
"24",163,848,"3","m",2017,-0.872456594,"sum","p",5.202453988,1.64932263354683,"p_m",10
"25",164,862,"3","m",2011,-1.062559485,"sum","p",5.256097561,1.65957907996832,"p_m",4
"26",164.2,892,"3","m",2010,-1.064605892,"sp","p",5.432399513,1.69256499937718,"p_m",3
"27",164,967,"3","m",2016,-1.116812315,"sp","p",5.896341463,1.77450164986969,"p_m",9
"28",164,910,"3","m",2018,-1.381437473,"sp","p",5.548780488,1.71375837526444,"p_m",11
"29",162,885,"3","m",2013,-1.881861287,"sp","p",5.462962963,1.69817434387802,"p_m",6
"30",166,944,"3","m",2014,-2.715137931,"sum","p",5.686746988,1.73831420979571,"p_m",7
"31",160,861,"3","m",2012,-2.91670831,"sp","p",5.38125,1.6831065023593,"p_m",5
"32",162.7,866,"3","m",2011,-2.994365546,"sp","p",5.322679779,1.67216475202977,"p_m",4
"33",163,908,"3","m",2019,-3.939215594,"sp","p",5.570552147,1.71767367705912,"p_m",12
"34",175,888,"6","m",2017,8.937383297,"sum","p",5.074285714,1.62438282166828,"p_m",10
"35",171,987,"6","m",2016,4.731256607,"sp","p",5.771929825,1.75317972027999,"p_m",9
"36",174,950,"6","m",2011,4.250616479,"sum","p",5.459770115,1.69758982651396,"p_m",4
"37",171.3,924,"6","m",2009,3.7016,"sp","p",5.394045534,1.68548103871155,"p_m",2
"38",171.4,972,"6","m",2010,1.712588064,"sp","p",5.670945158,1.73553212028322,"p_m",3
"39",172.6,981,"6","m",2011,1.199576193,"sum","p",5.683661645,1.73777160828089,"p_m",4
"40",171,998,"6","m",2022,0.865950628,"sum","p",5.83625731,1.76426104782671,"p_m",15
"41",171,972,"6","m",2021,0.531714149,"sp","p",5.684210526,1.73786815835501,"p_m",14
"42",171,1007,"6","m",2018,0.306725786,"sp","p",5.888888889,1.77323713313921,"p_m",11
"43",170,963,"6","m",2019,-0.033360631,"sp","p",5.664705882,1.73443149077755,"p_m",12
"44",170.3,974,"6","m",2009,-0.142,"sum","p",5.719318849,1.7440245466703,"p_m",2
"45",168.7,957,"6","m",2010,-0.158135803,"sp","p",5.672791938,1.73585766634527,"p_m",3
"46",179.2,940,"7","m",2008,9.22,"sp","p",5.245535714,1.65756799479746,"p_m",1
"47",180.5,1150,"7","m",2016,4.84301832,"sp","p",6.371191136,1.85194338783145,"p_m",9
"48",181.3,1094,"7","m",2011,3.881268055,"sum","p",6.034197463,1.79760857364968,"p_m",4
"49",176.7,1020,"7","m",2008,1.642,"sum","p",5.772495756,1.7532777473268,"p_m",1
"50",178.8,1123,"7","m",2011,-0.163253502,"sum","p",6.280760626,1.83765029564674,"p_m",4
"51",177,1140,"7","m",2017,-0.361786947,"sp","p",6.440677966,1.86278905990474,"p_m",10
"52",178,1203,"7","m",2016,-0.709599037,"sp","p",6.758426966,1.91093811811864,"p_m",9
"53",176.2,1156,"7","m",2010,-5.516638999,"sum","p",6.560726447,1.88125374622711,"p_m",3
"54",159,881,"8","m",2018,-4.79336257,"sp","p",5.540880503,1.71233388413687,"p_m",11
"55",154,854,"8","m",2017,-8.268987419,"sp","p",5.545454545,1.71315890290472,"p_m",10
"56",196.1,1126,"9","m",2008,15.239,"sp","p",5.741968383,1.74797621655619,"p_m",1
"57",172.5,918,"10","f",2008,4.5254,"sp","b",5.32173913,1.67198804491153,"b_f",1
"58",170.5,982,"10","f",2010,0.684585699,"sp","b",5.759530792,1.75102962185101,"b_f",3
"59",169.68,956,"10","f",2009,0.2704,"sp","b",5.634134842,1.72902107657545,"b_f",2
"60",169.1,1012,"10","f",2009,-2.156,"sum","b",5.984624483,1.78936067492014,"b_f",2
"61",157.6,764,"11","m",2010,-0.588116221,"sp","b",4.847715736,1.57871387318352,"b_m",3
"62",161,923,"11","m",2016,-1.582563943,"sp","b",5.732919255,1.74639928556921,"b_m",9
"63",156,767,"11","m",2012,-1.636276926,"sp","b",4.916666667,1.5928341633351,"b_m",5
"64",159.2,803,"11","m",2012,-2.679630343,"sum","b",5.043969849,1.61839167737542,"b_m",5
"65",157,772,"11","m",2011,-3.435191301,"sp","b",4.917197452,1.59294209182905,"b_m",4
"66",151.38,708,"11","m",2008,-5.028,"sp","b",4.676971859,1.54286465253893,"b_m",1
"67",151.88,755,"11","m",2009,-6.153,"sp","b",4.97102976,1.60382815914946,"b_m",2
"68",181,1107,"12","f",2017,4.830387153,"sp","b",6.116022099,1.81107539297255,"b_f",10
"69",185,1197,"12","f",2015,4.482191358,"sum","b",6.47027027,1.86737242154508,"b_f",8
"70",183.5,1210,"12","f",2016,4.387225085,"sp","b",6.59400545,1.88631261255256,"b_f",9
"71",179,1066,"12","f",2011,3.38179583,"sum","b",5.955307263,1.7844507023091,"b_f",4
"72",175,999,"12","f",2011,2.342517058,"sp","b",5.708571429,1.7421439646339,"b_f",4
"73",179.3,1105,"12","f",2011,1.504433766,"sum","b",6.162855549,1.8187024825629,"b_f",4
"74",172.62,1043,"12","f",2009,-0.3565,"sum","b",6.04217356,1.79892929780101,"b_f",2
"75",161.53,858,"12","f",2009,-2.3328,"sp","b",5.311706804,1.67010146130463,"b_f",2
"76",165,865,"15","m",2016,5.758036184,"sp","b",5.242424242,1.65697476620473,"b_m",9
"77",166.2,848,"15","m",2014,2.863851297,"sum","b",5.102286402,1.62988472474757,"b_m",7
"78",159,764,"15","m",2013,1.859682343,"sp","b",4.805031447,1.5698716805721,"b_m",6
"79",158.6,782,"15","m",2012,-2.152558812,"sum","b",4.930643127,1.59567222400606,"b_m",5
"80",197,1308,"16","m",2021,8.423587077,"sp","p",6.639593909,1.89320140361496,"p_m",14
"81",193.47,1257,"16","m",2008,5.5192,"sum","p",6.497131338,1.8715146491079,"p_m",1
"82",197,1394,"16","m",2021,5.194327606,"sum","p",7.076142132,1.95687017254324,"p_m",14
"83",194.5,1396,"16","m",2016,4.674266058,"sp","p",7.177377892,1.97107343720203,"p_m",9
"84",194,1413,"16","m",2016,3.195124642,"sp","p",7.283505155,1.98574951077863,"p_m",9
"85",195.4,1382,"16","m",2010,3.045707085,"sp","p",7.072671443,1.95637964398794,"p_m",3
"86",193.48,1299,"16","m",2008,2.4985,"sp","p",6.713872235,1.90432480298853,"p_m",1
"87",195.4,1421,"16","m",2010,0.889589139,"sp","p",7.272262027,1.98420488788491,"p_m",3
"88",169,1062,"17","m",2016,-1.588484936,"sp","p",6.284023669,1.8381696079858,"p_m",9
"89",169,1020,"17","m",2017,-2.029143788,"sp","p",6.035502959,1.79782486397489,"p_m",10
"90",170,1040,"17","m",2021,-2.221394456,"sum","p",6.117647059,1.81134100329408,"p_m",14
"91",170,1028,"17","m",2022,-2.302098165,"sp","p",6.047058824,1.79973736502041,"p_m",15
"92",168.8,1007,"17","m",2012,-2.318229395,"sp","p",5.96563981,1.78618392305115,"p_m",5
"93",168.12,976,"17","m",2009,-2.4216,"sp","p",5.805377112,1.75895681561164,"p_m",2
"94",171.6,1058,"17","m",2015,-2.802068071,"sum","p",6.165501166,1.81913160511008,"p_m",8
"95",168.34,991,"17","m",2009,-3.003,"sum","p",5.886895568,1.77289864485624,"p_m",2
"96",169,999,"17","m",2019,-3.058619201,"sp","p",5.911242604,1.77702521866322,"p_m",12
"97",167.8,959,"17","m",2008,-3.2915,"sp","p",5.715137068,1.7432932394862,"p_m",1
"98",169,1052,"17","m",2016,-4.187981091,"sum","p",6.224852071,1.82871031185921,"p_m",9
"99",168.4,1005,"17","m",2011,-4.278648544,"sum","p",5.967933492,1.78656826688956,"p_m",4
"100",168,1038,"17","m",2013,-4.406292489,"sp","p",6.178571429,1.82124892100666,"p_m",6
"101",167,985,"17","m",2011,-4.613461263,"sum","p",5.898203593,1.77481735756319,"p_m",4
"102",168.82,999,"17","m",2008,-5.0956,"sum","p",5.917545315,1.7780906948833,"p_m",1
"103",167.7,995,"17","m",2011,-5.211742967,"sp","p",5.933214073,1.78073459688357,"p_m",4
"104",168,1056,"17","m",2011,-7.394876111,"sum","p",6.285714286,1.83843856316387,"p_m",4
"105",172.56,937,"18","m",2009,4.2258,"sp","p",5.429995364,1.69212242543423,"p_m",2
"106",174,1024,"18","m",2013,2.373720824,"sp","p",5.885057471,1.77258641377992,"p_m",6
"107",174,1000,"18","m",2017,1.804934991,"sum","p",5.747126437,1.74887396466936,"p_m",10
"108",174,1038,"18","m",2018,1.609128477,"sp","p",5.965517241,1.78616338045719,"p_m",11
"109",175,1058,"18","m",2022,1.067580812,"sp","p",6.045714286,1.79951503129107,"p_m",15
"110",175,1073,"18","m",2023,0.934784409,"sum","p",6.131428571,1.81359084946751,"p_m",16
"111",172.2,964,"18","m",2008,0.816,"sp","p",5.598141696,1.72261331742285,"p_m",1
"112",173,1058,"18","m",2017,-0.034480789,"sp","p",6.115606936,1.81100752055318,"p_m",10
"113",171.3,1007,"18","m",2010,-0.322389581,"sp","p",5.878575598,1.77148458209475,"p_m",3
"114",171.8,1016,"18","m",2011,-2.286664873,"sp","p",5.913853318,1.77746669881348,"p_m",4
"115",173,1166,"18","m",2012,-7.050022905,"sp","p",6.739884393,1.90819113189484,"p_m",5
"116",159.5,802,"19","m",2016,3.88661908,"sp","p",5.028213166,1.61526354364486,"p_m",9
"117",160,746,"19","m",2018,3.599399905,"sp","p",4.6625,1.53976623918478,"p_m",11
"118",159.12,761,"19","m",2010,1.097739006,"sp","p",4.782554047,1.56518379470297,"p_m",3
"119",160,778,"19","m",2010,1.037892722,"sp","p",4.8625,1.58175834332736,"p_m",3
"120",159,783,"19","m",2021,0.996570036,"sum","p",4.924528302,1.59443153831272,"p_m",14
"121",159.34,748,"19","m",2008,0.592,"sp","p",4.694364253,1.5465756928244,"p_m",1
"122",159,764,"19","m",2021,-0.258492901,"sp","p",4.805031447,1.5698716805721,"p_m",14
"123",159,776,"19","m",2020,-0.91736233,"sum","p",4.880503145,1.58545319395256,"p_m",13
"124",155.38,725,"19","m",2009,-0.955,"sp","p",4.665980178,1.54051221969061,"p_m",2
"125",153.82,699,"19","m",2008,-3.7756,"sum","p",4.544272526,1.51408768754798,"p_m",1
"126",193.6,1235,"20","m",2008,6.3625,"sp","p",6.379132231,1.85318882300399,"p_m",1
"127",191.59,1226,"20","m",2008,5.3256,"sum","p",6.399081372,1.8563107046598,"p_m",1
"128",192.79,1301,"20","m",2010,4.913798205,"sp","p",6.748275325,1.90943513986176,"p_m",3
"129",178.7,962,"23","m",2010,9.565438819,"sp","p",5.383324007,1.68349177013795,"p_m",3
"130",176.54,906,"23","m",2008,8.549,"sp","p",5.131981421,1.63568666405087,"p_m",1
"131",173,1017,"23","m",2023,6.816426042,"sp","p",5.878612717,1.77149089528559,"p_m",16
"132",177.3,1011,"23","m",2015,5.447916085,"sum","p",5.702199662,1.74102736155631,"p_m",8
"133",174,988,"23","m",2018,4.717024617,"sum","p",5.67816092,1.73680349646848,"p_m",11
"134",175,973,"23","m",2017,4.283293065,"sum","p",5.56,1.71577794820543,"p_m",10
"135",173,956,"23","m",2019,3.360439646,"sp","p",5.526011561,1.70964726458044,"p_m",12
"136",174.28,991,"23","m",2009,2.937,"sum","p",5.686252008,1.73822718033742,"p_m",2
"137",174.02,957,"23","m",2008,2.3892,"sum","p",5.499367889,1.70481497891055,"p_m",1
"138",173,979,"23","m",2011,1.706094921,"sum","p",5.658959538,1.73341674342629,"p_m",4
"139",172,1119,"23","m",2016,-4.764014748,"sum","p",6.505813953,1.8728499282799,"p_m",9
"140",192,1262,"24","m",2022,6.981397859,"sp","p",6.572916667,1.88310979901322,"p_m",15
"141",185,1155,"24","m",2011,4.332446848,"sum","p",6.243243243,1.83165995817244,"p_m",4
"142",184.6,1120,"24","m",2008,4.09,"sp","p",6.067172264,1.80305745000884,"p_m",1
"143",191,1307,"24","m",2021,4.007412862,"sum","p",6.842931937,1.92336241106524,"p_m",14
"144",190.2,1293,"24","m",2015,3.048011148,"sum","p",6.798107256,1.91679131768096,"p_m",8
"145",187,1306,"24","m",2016,2.35795591,"sp","p",6.983957219,1.94375886799439,"p_m",9
"146",181.76,1142,"24","m",2009,1.8228,"sp","p",6.283010563,1.83800840132767,"p_m",2
"147",188,1300,"24","m",2018,1.261693155,"sp","p",6.914893617,1.93382218554542,"p_m",11
"148",183.1,1156,"24","m",2011,1.180522422,"sp","p",6.313489896,1.84284697597612,"p_m",4
"149",188,1276,"24","m",2019,0.358141247,"sp","p",6.787234043,1.91519082571101,"p_m",12
"150",183.7,1269,"24","m",2010,-2.407079377,"sp","p",6.908002177,1.93282522460286,"p_m",3
"151",156,833,"26","m",2023,2.489451602,"sp","p",5.33974359,1.67536489234152,"p_m",16
"152",159.99,794,"26","m",2010,0.143331513,"sp","p",4.962810176,1.60217362648226,"p_m",3
"153",158,761,"26","m",2011,-1.683363716,"sum","p",4.816455696,1.5722459247929,"p_m",4
"154",156.46,764,"26","m",2009,-2.0824,"sp","p",4.883037198,1.58597217251757,"p_m",2
"155",158,809,"26","m",2016,-2.218187379,"sum","p",5.120253165,1.63339916789193,"p_m",9
"156",158.32,790,"26","m",2008,-2.885,"sp","p",4.989893886,1.60761502919153,"p_m",1
"157",158,799,"26","m",2020,-3.104090833,"sum","p",5.056962025,1.62096364031132,"p_m",13
"158",157,814,"26","m",2017,-3.158106367,"sp","p",5.184713376,1.64590741678848,"p_m",10
"159",158,839,"26","m",2018,-3.493392023,"sp","p",5.310126582,1.66980397508582,"p_m",11
"160",187.3,1111,"27","f",2011,9.169454987,"sum","p",5.931660438,1.78047275287276,"p_f",4
"161",187.46,1208,"27","f",2008,5.0724,"sp","p",6.444041395,1.8633110591789,"p_f",1
"162",186.57,1177,"27","f",2009,4.6518,"sp","p",6.308624109,1.84207610409726,"p_f",2
"163",187.1,1188,"27","f",2009,4.5592,"sp","p",6.349545697,1.8485407457477,"p_f",2
"164",186.86,1217,"27","f",2010,3.16244696,"sp","p",6.512897356,1.87393794928439,"p_f",3
"165",182,1188,"29","m",2022,1.002856381,"sp","p",6.527472527,1.8761729996929,"p_m",15
"166",181,1277,"29","m",2023,-3.934194123,"sum","p",7.055248619,1.9539135532028,"p_m",16
"167",173,1109,"29","m",2017,-5.163251307,"sum","p",6.410404624,1.85807837703629,"p_m",10
"168",178.2,1000,"31","m",2011,5.787648276,"sum","p",5.611672278,1.72502694800931,"p_m",4
"169",177,1066,"31","m",2013,3.033680886,"sp","p",6.02259887,1.79568489963505,"p_m",6
"170",175.7,1043,"31","m",2012,2.559477735,"sp","p",5.93625498,1.78124690198296,"p_m",5
"171",176.06,1030,"31","m",2009,2.462,"sp","p",5.850278314,1.76666015258647,"p_m",2
"172",176.7,1026,"31","m",2008,1.689,"sp","p",5.806451613,1.75914185381541,"p_m",1
"173",175.8,1023,"31","m",2011,1.321694492,"sp","p",5.819112628,1.76131961344614,"p_m",4
"174",176,1075,"31","m",2011,-0.406804028,"sum","p",6.107954545,1.80975565297863,"p_m",4
"175",174.2,1057,"31","m",2014,-0.846656502,"sum","p",6.067738232,1.8031507139413,"p_m",7
"176",161.36,786,"32","m",2008,0.389,"sp","p",4.871095687,1.58352417040356,"p_m",1
"177",160.95,806,"32","m",2009,0.0304,"sp","p",5.007766387,1.61118965463743,"p_m",2
"178",163,932,"32","m",2010,-4.476008914,"sp","p",5.717791411,1.74375749128324,"p_m",3
"179",181.4,1054,"33","m",2015,7.214951857,"sum","p",5.810363837,1.75981528290371,"p_m",8
"180",175.3,941,"33","m",2011,6.029950755,"sum","p",5.367940673,1.6806306214632,"p_m",4
"181",174.28,937,"33","m",2009,5.799,"sum","p",5.376405784,1.68220606159715,"p_m",2
"182",178,1104,"33","m",2016,4.9924598,"sp","p",6.202247191,1.82507289543074,"p_m",9
"183",172.28,945,"33","m",2010,4.085285104,"sp","p",5.485256559,1.70224615755388,"p_m",3
"184",173.4,931,"33","m",2011,4.068971413,"sp","p",5.369088812,1.6808444469315,"p_m",4
"185",181,1128,"33","m",2021,3.910197469,"sum","p",6.232044199,1.82986484892944,"p_m",14
"186",169,858,"33","m",2008,3.817,"sp","p",5.076923077,1.62490233488102,"p_m",1
"187",178,1042,"33","m",2019,3.522321951,"sp","p",5.853932584,1.76728448272208,"p_m",12
"188",176,1063,"33","m",2017,2.70165908,"sp","p",6.039772727,1.79853193869752,"p_m",10
"189",179,1114,"33","m",2018,2.44727701,"sp","p",6.223463687,1.82848728394045,"p_m",11
"190",176.5,1035,"33","m",2011,2.223570534,"sum","p",5.864022663,1.7690063462071,"p_m",4
"191",190,1288,"34","m",2021,4.058546424,"sum","p",6.778947368,1.91396933909031,"p_m",14
"192",189,1263,"34","m",2017,2.404632273,"sum","p",6.682539683,1.89964773986968,"p_m",10
"193",189,1283,"34","m",2012,2.377525267,"sp","p",6.788359788,1.91535664964367,"p_m",5
"194",185.02,1240,"34","m",2009,0.48,"sum","p",6.701978165,1.90255192987387,"p_m",2
"195",185,1280,"34","m",2017,0.250129368,"sp","p",6.918918919,1.93440405265342,"p_m",10
"196",187,1317,"34","m",2022,0.139738257,"sum","p",7.042780749,1.95214506422677,"p_m",15
"197",186.6,1227,"34","m",2008,-0.1695,"sp","p",6.575562701,1.88351222297993,"p_m",1
"198",190,1331,"34","m",2014,-0.399188258,"sum","p",7.005263158,1.94680448587404,"p_m",7
"199",185.9,1279,"34","m",2010,-0.759930132,"sp","p",6.880043034,1.92877024423363,"p_m",3
"200",187,1326,"34","m",2018,-1.162098136,"sp","p",7.090909091,1.95895456960188,"p_m",11
"201",188,1354,"34","m",2016,-1.306819367,"sum","p",7.20212766,1.97451532892107,"p_m",9
"202",187,1317,"34","m",2019,-1.559965807,"sum","p",7.042780749,1.95214506422677,"p_m",12
"203",184,1307,"34","m",2023,-2.157364243,"sp","p",7.10326087,1.96069472658096,"p_m",16
"204",188,1337,"34","m",2011,-2.360757409,"sum","p",7.111702128,1.96188221774812,"p_m",4
"205",195.7,1379,"35","m",2009,2.3486,"sp","p",7.046499745,1.95267290782309,"p_m",2
"206",195,1412,"35","m",2013,1.756209018,"sp","p",7.241025641,1.9799009519337,"p_m",6
"207",196.56,1371,"35","m",2008,1.3665,"sp","p",6.974969475,1.94247131088036,"p_m",1
"208",195.2,1413,"35","m",2010,1.131869743,"sp","p",7.238729508,1.97958384492621,"p_m",3
"209",192,1444,"35","m",2012,-3.666617847,"sp","p",7.520833333,2.01780990253067,"p_m",5
"210",169.04,886,"37","f",2009,4.777,"sum","b",5.241362991,1.65677234916535,"b_f",2
"211",173.4,1000,"37","f",2012,3.139034791,"sp","b",5.767012687,1.75232759952947,"b_f",5
"212",172.8,977,"37","f",2011,1.521679439,"sp","b",5.653935185,1.73252864796394,"b_f",4
"213",174.4,1025,"37","f",2011,1.070817486,"sum","b",5.877293578,1.77126651196897,"b_f",4
"214",171.6,1017,"37","f",2010,-0.282966879,"sp","b",5.926573427,1.77961492639652,"b_f",3
"215",163.78,889,"37","f",2009,-1.8374,"sp","b",5.428013188,1.69175738409701,"b_f",2
"216",164.09,905,"37","f",2008,-3.4195,"sum","b",5.515266013,1.70770118447527,"b_f",1
"217",155.2,734,"37","f",2008,-3.6298,"sp","b",4.729381443,1.55400584259272,"b_f",1
"218",169,948,"38","f",2011,-0.460333786,"sp","b",5.609467456,1.72463404155343,"b_f",4
"219",168.2,968,"38","f",2010,-0.78839327,"sp","b",5.755053508,1.75025208502083,"b_f",3
"220",162.86,855,"38","f",2008,-1.9835,"sp","b",5.249907896,1.65840099422385,"b_f",1
"221",150,725,"41","m",2016,-4.328987734,"sp","b",4.833333333,1.57574323584105,"b_m",9
"222",175,1217,"48","m",2017,-6.425232973,"sp","p",6.954285714,1.93950190490546,"p_m",10
"223",175,1251,"48","m",2016,-6.474233625,"sp","p",7.148571429,1.96705241490944,"p_m",9
"224",175.1,1194,"48","m",2011,-7.64466835,"sum","p",6.818960594,1.91985369383281,"p_m",4
"225",177,1272,"48","m",2018,-7.927687778,"sum","p",7.186440678,1.97233515259376,"p_m",11
"226",174.88,1214,"48","m",2010,-8.186400221,"sp","p",6.941903019,1.9377199895042,"p_m",3
"227",176.2,1239,"48","m",2010,-8.24852711,"sp","p",7.031782066,1.95058236950039,"p_m",3
"228",174,1221,"48","m",2020,-8.87797902,"sum","p",7.017241379,1.94851267084143,"p_m",13
"229",173.9,1227,"48","m",2011,-10.60222736,"sum","p",7.055779183,1.95398874103743,"p_m",4
"230",176,982,"53","f",2020,10.43584859,"sum","b",5.579545455,1.71928652340794,"b_f",13
"231",179,1078,"53","f",2023,5.999146119,"sum","b",6.022346369,1.79564298012848,"b_f",16
"232",172,982,"53","f",2021,2.700670721,"sp","b",5.709302326,1.74227196902636,"b_f",14
"233",179,1133,"68","m",2020,0.662547426,"sum","p",6.329608939,1.84539643042342,"p_m",13
"234",178,1154,"68","m",2022,-1.14944646,"sp","p",6.483146067,1.86936013091766,"p_m",15
"235",171,1006,"68","m",2017,-1.523589025,"sum","p",5.883040936,1.77224375988698,"p_m",10
"236",154,700,"68","m",2011,-2.434542509,"sum","p",4.545454545,1.51434770833335,"p_m",4
"237",173,1097,"68","m",2018,-2.621782531,"sp","p",6.341040462,1.84720055610211,"p_m",11
"238",153.7,755,"68","m",2012,-3.262179303,"sp","p",4.912166558,1.59191865409772,"p_m",5
"239",175,1116,"68","m",2019,-3.640709554,"sp","p",6.377142857,1.85287696673778,"p_m",12
"240",151,707,"68","m",2011,-5.807358057,"sum","p",4.682119205,1.54396438471408,"p_m",4
"241",168.18,841,"69","f",2008,4.0323,"sp","p",5.000594601,1.60975678178986,"p_f",1
"242",163,778,"71","m",2012,2.46212148,"sum","p",4.773006135,1.56318581300169,"p_m",5
"243",150.6,622,"71","m",2010,1.287252306,"sum","p",4.130146082,1.41855487017138,"p_m",3
"244",158,708,"71","m",2011,1.139382579,"sum","p",4.481012658,1.50007219956038,"p_m",4
"245",159.02,767,"72","f",2010,1.905265822,"sp","p",4.823292668,1.57366412673881,"p_f",3
"246",154.38,646,"72","f",2008,0.8306,"sum","p",4.184479855,1.43162135806136,"p_f",1
"247",151.9,616,"72","f",2008,-1.0652,"sp","p",4.055299539,1.40027111440031,"p_f",1
"248",155,754,"73","m",2016,2.151253668,"sp","p",4.864516129,1.58217280024718,"p_m",9
"249",169,952,"73","m",2022,0.828048425,"sp","p",5.633136095,1.72884382517947,"p_m",15
"250",153,743,"73","m",2016,0.784815761,"sp","p",4.85620915,1.58046402399712,"p_m",9
"251",166,900,"73","m",2021,-0.587972907,"sp","p",5.421686747,1.69059140240665,"p_m",14
"252",156,778,"73","m",2017,-2.258313419,"sp","p",4.987179487,1.60707101093142,"p_m",10
"253",153.5,750,"74","m",2016,0.881639884,"sp","p",4.885993485,1.58657728515842,"p_m",9
"254",154,760,"74","m",2016,0.805674344,"sp","p",4.935064935,1.59656844190553,"p_m",9
"255",155,788,"74","m",2017,-3.786033682,"sp","p",5.083870968,1.62626965415399,"p_m",10
"256",152,697,"75","m",2019,-3.068950087,"sp","p",4.585526316,1.5231229436596,"p_m",12
"257",185.5,1239,"76","f",2008,1.5717,"sp","b",6.679245283,1.8991547058864,"b_f",1
"258",181.5,1148,"77","f",2016,5.958211428,"sp","b",6.325068871,1.84467901179859,"b_f",9
"259",182.2,1194,"77","f",2014,0.711053675,"sum","b",6.5532382,1.88011189383346,"b_f",7
"260",178.5,1135,"77","f",2008,-0.2595,"sp","b",6.358543417,1.84995658499515,"b_f",1
"261",181,1186,"77","f",2010,-0.866292185,"sp","b",6.552486188,1.87999715049914,"b_f",3
"262",180.2,1165,"77","f",2012,-1.03130545,"sum","b",6.465038846,1.86656368701795,"b_f",5
"263",180,1159,"77","f",2011,-2.687754805,"sp","b",6.438888889,1.86251128670655,"b_f",4
"264",176.82,1162,"77","f",2009,-4.2492,"sp","b",6.57165479,1.88291782850471,"b_f",2
"265",160.04,887,"78","f",2009,-4.2785,"sum","b",5.542364409,1.71260161047411,"b_f",2
"266",160.88,901,"78","f",2008,-6.2497,"sp","b",5.600447539,1.72302505344569,"b_f",1
"267",159.21,931,"78","f",2009,-8.7846,"sp","b",5.847622637,1.76620618685518,"b_f",2
"268",174.06,1015,"79","f",2009,2.6375,"sum","b",5.831322532,1.76341529701803,"b_f",2
"269",174.6,1044,"79","f",2009,0.2096,"sp","b",5.979381443,1.78848435238312,"b_f",2
"270",172.42,1048,"79","f",2009,-2.1968,"sp","b",6.078181185,1.80487001338905,"b_f",2
"271",171.5,963,"80","f",2014,3.815870117,"sum","b",5.61516035,1.72564821866633,"b_f",7
"272",164,846,"80","f",2011,0.933964526,"sp","b",5.158536585,1.64084676635186,"b_f",4
"273",161.4,872,"80","f",2009,-3.2552,"sp","b",5.402726146,1.68708874264807,"b_f",2
"274",160.72,844,"80","f",2008,-3.5768,"sp","b",5.25136884,1.65867918245903,"b_f",1
"275",170.5,963,"81","f",2014,2.815870117,"sum","b",5.648093842,1.73149515034889,"b_f",7
"276",166.88,864,"81","f",2008,1.5892,"sp","b",5.177372963,1.64449090712477,"b_f",1
"277",163.9,882,"81","f",2011,-1.422846643,"sp","b",5.381330079,1.68312138059875,"b_f",4
"278",161.5,901,"81","f",2010,-3.530506906,"sp","b",5.578947368,1.71917934409067,"b_f",3
"279",162.4,948.5,"81","f",2009,-6.5851,"sp","b",5.840517241,1.76499056463866,"b_f",2
"280",169.77,977,"82","f",2009,-0.8282,"sp","b",5.75484479,1.75021582375538,"b_f",2
