"","Df","Deviance","Resid. Df","Resid. Dev","Pr(>Chi)"
"NULL",NA,NA,42,8646.86776880331,NA
"locality",2,8172.77819316321,40,474.089575640103,0
"year",1,2.35773839921507,39,471.731837240888,0.124662803504926
"locality:year",2,3.85481405717911,37,467.877023183709,0.145525051986601
