"Variable","Q_0.025","Q_0.5","Q_0.975"
2009,14.6148453391023,16.024103543505,21.9755264953254
2010,6.6596804780781,7.58736808404887,11.7232160691104
2011,10.6500000000423,10.6589660337175,2565569.56587863
2012,6.98760700845251,8.67415812429277,15.1356114577028
2013,7.85578077003915,12.4304488870708,26.8239840072269
2014,8.45224603787513,15.3073996095457,36.2030320611691
2015,6.84141583136853,14.2910104591335,37.5475131195476
2016,13.9346567732864,15.4850043862065,22.153388827605
2017,7.14639989065076,9.95407769224276,18.1559037981534
2018,12.5452940472784,16.3226175981,25.5443409504167
2019,13.240009134916,17.1429926469193,27.0131007570911
2020,11.7322670398321,17.6761267945733,32.1572367338275
2021,9.96308323057409,14.9806728633195,27.2402114248005
2022,5.55886710756985,10.6851262434741,25.4582631041876
2023,10.8194359619564,12.3483189997684,28.7110803475674
