"Variable","Q_0.025","Q_0.5","Q_0.975"
2011,0.99046221570066,0.99046221570066,0.990462215700661
2012,0.998697351280938,0.998697351280938,0.998697351280938
2013,0.41371158392435,0.41371158392435,0.41371158392435
2014,1.32978723404255,1.32978723404255,1.32978723404255
2015,0.921985815602837,0.921985815602837,0.921985815602837
2016,0.610600528767468,0.610600528767468,0.610600528767468
2017,0.664893617021277,0.664893617021277,0.664893617021277
2018,0.479472580161822,0.479472580161822,0.479472580161822
2019,0.651324359531046,0.651324359531047,0.651324359531047
2020,2.34042553191489,2.34042553191489,2.34042553191489
2021,0.807971990304336,0.807971990304336,0.807971990304336
2022,0.331583310306715,0.331583310306715,0.331583310306715
2023,0.793036750483559,0.793036750483559,0.793036750483559
